Cell,DoD
G1C1,0.24792657527864287
G1C2,0.2616769938198376
G1C3,0.2584253679778493
G1C4,0.26782772394700416
G2C1,0.4497688936088829
G2C2,0.48361373046582606
G2C3,0.4556527791783018
G2C4,0.4551969334916514
G3C1,0.6701900922367644
G3C2,0.688215868
G3C3,0.6714335446504401
G3C4,0.6809655657955851
G4C1,0.46146192546275683
G4C2,0.46956471030850266
G4C3,0.47570425621730467
G4C4,0.48394942512902006
G5C1,0.9774853115513104
G5C2,0.9655387820980716
G5C3,0.9764392560699543
G5C4,0.9820374646815779
G6C1,0.2672838376557466
G6C2,0.26577785856545677
G6C3,0.28313501011853137
G6C4,0.2729497891096994
G7C1,0.47801726750018525
G7C2,0.47176798604954745
G7C3,0.45146963931610556
G7C4,0.47317016231117515
G8C1,0.6712012710492631
G8C2,0.6808984588566221
G8C3,0.6549199444154257
G8C4,0.6826921080542128
G9C1,0.964081085
G9C2,0.9639589145713682
G9C3,0.9846294795988306
G9C4,0.9643393582871651
G10C1,0.46969202532269855
G10C2,0.4755621125277811
G10C3,0.4839266676511732
G10C4,0.4590519502891597
G11C1,0.9514154559703253
G11C2,0.951129753
G11C3,0.9683967728691585
G11C4,0.968124917
G12C1,0.2898014170089104
G12C2,0.29463859796087855
G12C3,0.27242053049646775
G12C4,0.2870518023862095
G13C1,0.46315598708062733
G13C2,0.478860193
G13C3,0.47588765666651933
G13C4,0.47239823566477646
G14C1,0.6805431772978944
G14C2,0.6578545715219225
G14C3,0.6514682662006813
G14C4,0.6628697745334032
G16C1,0.9698223410869544
G16C2,0.9767413440371652
G16C3,0.9857103553837397
G16C4,0.9725482887780863
G17C1,0.6608756641329192
G17C2,0.6698213665386404
G17C3,0.682644432
G17C4,0.688005469
G18C1,0.26999833430829173
G18C2,0.27848928442055587
G18C3,0.2729174993960966
G18C4,0.2798466913980761
G19C1,0.6548972281449894
G19C2,0.645031321
G19C3,0.6537357088956184
G19C4,0.6743909910500875
G20C1,0.9802817829477585
G20C2,0.980677841
G20C3,0.9820725541700274
G20C4,0.9832766052940898
G21C1,0.9805664634957549
G21C2,0.9787982782816084
G21C3,0.9797001871120888
G21C4,0.9800032730453457
G22C1,0.9806307704157315
G22C2,0.9776825744420494
G22C3,0.9783486206740046
G22C4,0.9784995011826957
G23C1,0.9747746326253487
G23C2,0.9792119664309785
G23C3,0.9761179629102825
G23C4,0.9742369294344113
G24C1,0.9750993060400849
G24C2,0.9763231982550424
G24C3,0.9729682850117591
G24C4,0.9761755351719517
G25C1,0.5239013793860616
G25C2,0.499119248
G25C3,0.5215268587698124
G25C4,0.5126131092752438
G26C1,0.038449253
G26C2,0.044145600265863214
G26C3,0.049093922561230026
G26C4,0.034633422968276366
G27C1,0.5376602833421649
G27C2,0.6095884308401032
G27C3,0.5819422042344965
G27C4,0.584631721
G28C1,0.8124568572556724
G28C2,0.8178859869785697
G28C3,0.7930123346093128
G28C4,0.8160914508846767
G29C1,0.5241473410126481
G29C2,0.5303206708011512
G29C3,0.5266641074890873
G29C4,0.5178763041227974
G35C1,0.9539732537282116
G35C2,0.975687741
G35C3,0.9887134231578535
G35C4,0.9625072902615321
G36C1,0.9767364975130213
G36C2,0.9750892851210043
G36C3,0.9734954096113015
G36C4,0.9568910413056099
G37C1,0.9656489149276508
G37C2,0.9813660268446872
G37C3,0.9965385537364541
G37C4,0.9795035332664509
G38C1,0.9606590336454282
G38C2,0.9696601767745207
G38C3,0.9666768730564004
G38C4,0.9361115733625694
G39C1,0.947960125
G39C2,0.9774503804847511
G39C3,0.9839395242496471
G39C4,0.9760573878498238
G40C1,0.3474499855697032
G40C2,0.3622471323429475
G40C3,0.20791891538135476
G40C4,0.35983184322079115
G41C1,0.6723239317368727
G41C2,0.6669759781331301
G41C3,0.6719933129659049
G41C4,0.6693366850915363
G42C1,0.43331124086096556
G42C2,0.4323800552216989
G42C3,0.4476280592965798
G42C4,0.13965320755855465
G43C1,0.39035397112091513
G43C2,0.3806237788874292
G43C3,0.36040177658995204
G43C4,0.3886812258805738
G52C1,0.830424891
G52C2,0.8506413410499365
G52C3,0.8404307405217342
G52C4,0.8203944352640159
G53C1,0.9053216647474657
G53C2,0.9086400593447634
G53C3,0.9077450872146516
G53C4,0.939955923
G54C1,0.26800516801616864
G54C2,0.25920518337408316
G54C3,0.27474640737846256
G54C4,0.2801264372738472
G55C1,0.6159597388083361
G55C2,0.6077655056319489
G55C3,0.6238448162284889
G55C4,0.6098680618833465
G56C1,0.5426686755138876
G56C2,0.5392397023114697
G56C3,0.5376295939185011
G56C4,0.532917201
G57C1,0.186148381
G57C2,0.1621092654843702
G57C3,0.17856626972648879
G57C4,0.16992587014115582
G58C1,0.4084048184584328
G58C2,0.4190254263655531
G58C3,0.4266249766881105
G58C4,0.42712468541914256
G59C1,0.3256871390973014
G59C2,0.31642427575370724
G59C3,0.31919668664425277
G59C4,0.30429068264029785
G30C1,0.7980620587345351
G30C2,0.7510626951748108
G30C3,0.7506536495940741
G30C4,0.8039111291444709
G31C1,0.6047683962814651
G31C2,0.6146787584854658
G31C3,0.6154723924474819
G31C4,0.6222480006908864
G32C1,0.38527458768963013
G32C2,0.39356010606892655
G32C3,0.39723146226025424
G32C4,0.37826812962890505
G33C1,0.42322554530981454
G33C2,0.41512095741288774
G33C3,0.3518382027256339
G33C4,0.4356306949096094
G34C1,0.3146391781679077
G34C2,0.21462472556355658
G34C3,0.27651045622338727
G34C4,0.29815493297778184
G44C1,0.35974476644303777
G44C2,0.37089778514527055
G44C3,0.38008153953792295
G44C4,0.37395794241748986
G45C1,0.8001040463260922
G45C2,0.8110318718271279
G45C3,0.8004840473261173
G45C4,0.7986930746227221
G46C1,0.7343209919473666
G46C2,0.7644929003670439
G46C3,0.752887849
G46C4,0.7628524140227371
G47C1,0.47708391230527514
G47C2,0.47832607568432073
G47C3,0.48495088536078157
G47C4,0.4906390547251361
G48C1,0.5845145070928216
G48C2,0.5715851675310871
G48C3,0.6107923012849098
G48C4,0.5760927382267221
G49C1,0.20012995722998234
G49C2,0.20226722341984443
G49C3,0.14114634535873483
G49C4,0.20922759738854566
G50C1,0.21104871552624407
G50C2,0.2111991875198325
G50C3,0.17935331551620887
G50C4,0.20227887875138323
G51C1,0.5583377847510036
G51C2,0.4929418854996856
G51C3,0.560898426
G51C4,0.5335143042470579
G60C1,0.8486202199645804
G60C2,0.8173702572364099
G60C3,0.8506361144158254
G60C4,0.8287183270012988
G61C2,0.5306501212925295
G61C3,0.5508920438506884
G61C4,0.5405692763220113
G62C1,0.6168491276494172
G62C2,0.6413469365965626
G62C3,0.6321351425571087
G62C4,0.6774456260161776
G63C1,0.7976846332779978
G63C2,0.8123802377838312
G63C3,0.8014172114247745
G63C4,0.8112815684276532
G64C1,0.9074508195588975
G64C2,0.9243140324302848
G64C3,0.9142443660408084
G64C4,0.9114086726431126
